certificate_id,film_name,cut_no,mod_type,content_category,content_type,description,tcr_timestamps,deleted,replaced,inserted,total_modified_time
100010842400007808,INDIE RIGHTS INC,1,replacement,substance,other,"Replaced old health spots with new anti-smokinganti-tobacco health spots in Tamil, in the beginning of the film.",NANA,0,0,0,0
100010842400007808,INDIE RIGHTS INC,2,insertion,substance,other,"Inserted new anti-smokinganti-tobacco health spots in Tamil, in the middle (after interval) of the film",NANA,0,1,0,1
100010842400007808,INDIE RIGHTS INC,3,insertion,other,other,Inserted disclaimer in Tamil for the dangerous action content.,NANA,0,0.016666666666666666,0,0.02
100010842400007808,INDIE RIGHTS INC,4,overlay,other,title,Superimposed film title and credits in Tamil,NANA,0,0,0,0
100010842400007808,INDIE RIGHTS INC,5,overlay,substance,technical,Superimposed anti-liquor static message in Tamil at TCR-00:48:17:00,00:48:17:00,0,0,0,0
100010842400007808,INDIE RIGHTS INC,6,overlay,other,technical,Superimposed anti-smoking static messge at TCR-01:12:20:00,01:12:20:00,0,0,0,0
100010842400007808,CARDINAL XD LLC,1,overlay,other,title,Superimposed the Title and Credits of the film in Tamil,NANA,0,0,0,0
100010842400007808,CARDINAL XD LLC,2,visual,substance,technical,"Blurred liquor brand label at TCR-00:11:28:00, 00:12:05:00, 00:18:30:00","00:11:28:00, 00:12:05:00, 00:18:30:00",0,0,0,0
100010842400007808,CARDINAL XD LLC,3,other,substance,other,"Provided bigger, readable anti-liquor static message in Tamil",NANA,0,0,0,0
100010842400010224,SINGHAM AGAIN,1,replacement,other,other,Corrected Disclaimer in Telugu.,NANA,0,0,0,0
100010842400007824,SHOOT EM UP,1,insertion,other,other,ADDED 10 SECONDS OF SPACE AT THE BEGINNING OF THE FILM FOR THE DISPLAY OF THE CBFC CERTIFICATE,10,0,0,0.016666666666666666,0.02
100010842400007824,SHOOT EM UP,2,insertion,other,other,INSERTED HEALTH SPOT IN TAMIL LANGUAGE IN THE BEGINNING AND MIDDLE OF THE FILM 0.01 MINUTES EACH,0.01,0,0,2,2
100010842400007824,SHOOT EM UP,3,insertion,other,title,INSERTED CAST CREDIT LOCALIZATION IN TAMIL LANGUAGE 00.10 SECONDS,00.10,0,0,0.016666666666666666,0.02
100010842400008720,LIONS GATE PLAY LLP- MUMBAI,1,deletion,violence,scene,Deleted the visual of Mans neck being slit by another man at TCR 44.31,44.31,0.03333333333333333,0,0,0.03
100010842400008720,LIONS GATE PLAY LLP- MUMBAI,2,deletion,violence,scene,Deleted the visual of dead body ying on the ground and blood all over on the ground at TCR 50.33,50.33,0.016666666666666666,0,0,0.02
100010842400008720,LIONS GATE PLAY LLP- MUMBAI,3,deletion,violence,scene,Deleted the visual of dead body hanging and blood on his legs at TCR 1.06.14,1.06,0.016666666666666666,0,0,0.02
100010842400008720,LIONS GATE PLAY LLP- MUMBAI,4,deletion,violence,scene,Deleted the visual of gunfiring shots at TCR 1.09.12,1.09,0.03333333333333333,0,0,0.03
100010842400008720,LIONS GATE PLAY LLP- MUMBAI,5,deletion,violence,scene,Deleted the visual of headshot with gun at TCR 1.10.01,1.10,0.016666666666666666,0,0,0.02
100010842400008720,LIONS GATE PLAY LLP- MUMBAI,6,deletion,other,scene,Deleted the visual of lady being shot on head while she drives the car and car blasts at TCR 1.37.07,1.37,0.05,0,0,0.05
100010842400008672,LIONS GATE PLAY LLP- MUMBAI,1,audio,profanity,dialogue,"MUTED THE FOLLOWING WORDS  HARAMI AT TCR 08.51. GAANJA AT TCR - 08.57, KAMINE AT TCR 12.59, ZADI AT TCR 37.51","08.51, 08.57, 12.59, 37.51",0,0,0,0
100010842400008672,LIONS GATE PLAY LLP- MUMBAI,2,visual,substance,technical,BLURRED THE LIQUOR LABEL AT TCR 16.46,16.46,0,0,0,0
100010842400010128,TRAILER A : NOVACAINE,1,visual,sexual,scene,Intimate scene blurred,NANA,0,0,0,0
100010842400010128,A24 INTERNATIONAL LLC,1,replacement,sexual,scene,Kissing scene replaced,NANA,0,0,0,0
100010842400010128,A24 INTERNATIONAL LLC,2,replacement,other,scene,Scene of finger in the mouth replaced,NANA,0,0,0,0
100010842400009808,SONG: - ROKKO,1,replacement,other,scene,Visuals of revealing shot replaced,NANA,0,0.05,0,0.05
100010842400009936,S P ENTERPRISES - MUMBAI,1,replacement,sexual,scene,Kissing scene replaced,NANA,0.05,0,0,0.05
100010842400008688,LIONS GATE PLAY LLP- MUMBAI,1,deletion,other,scene,DELETED THE VISUAL OF SEVERED ARMS AND LEGS IN THE WATER AND WOMAN SEEN SCREAMING AT TCR 0.30.57,0.30,0.06666666666666667,0,0,0.07
100010842400008688,LIONS GATE PLAY LLP- MUMBAI,2,deletion,other,scene,DELETED THE VISUAL OF MAN UNDER WATER AND SEVERED LEGS SEEN UNDER WATER AT TCR 0.47.43,0.47,0.03333333333333333,0,0,0.03
100010842400008688,LIONS GATE PLAY LLP- MUMBAI,3,deletion,violence,scene,DELETED THE VISUAL OF A DEAD BODY BEEN THROWN IN WATER BY A MAN AT TCR 50.49,50.49,0.016666666666666666,0,0,0.02
100030842400002480,RETURN OF HEROES,1,insertion,other,other,Inserted disclaimer in Malayalam for the dangerous action content in the film.,NANA,0,0.05,0,0.05
100030842400002544,SHANGHAI KNIGHT,1,other,other,title,Provided Film Credits in Malayalam,NANA,0,0,0,0
100030842400002544,SHANGHAI KNIGHT,2,audio,sexual,dialogue,Muted obscene word at TCR-00:21:23:00,00:21:23:00,0,0,0,0
100030842400002544,SHANGHAI KNIGHT,3,reduction,other,scene,Reduced the scene of violence against animal by 50 at TCR-00:10:10:00,00:10:10:00,0.11666666666666667,0,0,0.12
100030842400002544,SHANGHAI KNIGHT,4,visual,sexual,scene,Blurred obscene gesture at TCR-00:25:16:00,00:25:16:00,0,0,0,0
100030842400002544,SHANGHAI KNIGHT,5,visual,substance,technical,Blurred liquor brand label at TCR-00:30:44:00,00:30:44:00,0,0,0,0
100010842400005376,THE WEDDING GUEST,1,replacement,other,title,Uploaded the end credits in applied language and with correct Translation at 01:26:10,01:26:10,0,0,0,0
100010842400005376,THE WEDDING GUEST,2,replacement,other,other,Uploaded the corrected script.,NANA,0,0,0,0
100010842400008640,HALAHAL,1,insertion,other,title,"Inserted Hindi text for the main disclaimer, main title of the film and credit titles to be in Hindi (language of the film).",NANA,0,0,0,0
100010842400008640,HALAHAL,2,insertion,substance,scene,Inserted static disclaimers in Hindi text for the visuals of smokingliquor consumption.,NANA,0,0,0,0
100010842400008640,HALAHAL,3,insertion,other,other,Inserted- 30 seconds each Anti-Smoking spots at the beginning and interval of the film,30,0,1,0,1
100010842400008640,HALAHAL,4,audio,profanity,dialogue,Muted the abusive words with reference to sister and other offensive words. Necessary changes are made in the script.,NANA,0,0,0,0
100010842400008640,HALAHAL,5,visual,profanity,dialogue,Blurred the word Vyapam on the printed paper.,NANA,0,0,0,0
100010842400010144,VR MEDIA - MUMBAI,1,deletion,other,scene,Deleted the visual of girl sitting in boys lap,NANA,0.03333333333333333,0,0,0.03
100010842400005888,A NIGHTMARE ON ELM STREET,1,insertion,other,other,Added 10 Seconds Of Space In The Beginning Of Film For Display Of Censor Certificate.,10,0,0,0.016666666666666666,0.02
100010842400005888,A NIGHTMARE ON ELM STREET,2,insertion,other,other,Inserted Health Spot of Sunita and Cigarette Bidi do in Beginning and Middle of the film 00.01 mints each.,00.01,0,0,2,2
100010842400005888,A NIGHTMARE ON ELM STREET,3,insertion,other,title,Inserted Cast and Credit Localization language in Tamil 10.sec,NANA,0,0,0.016666666666666666,0.02
100010842400009472,BIGSTONE PICTURES CO. LTD,1,insertion,other,title,ADDED ENGLISH CAST AND CREDIT AT THE END,NANA,0,0,0.05,0.05
100010842400007440,THE HANGOVER PART II,1,insertion,other,other,ADDED 10 SECONDS OF SPACE IN THE BEGINNING OF THE FILM FOR DISPLAY OF CENSOR CERTIFICATE.,10,0,0,0.016666666666666666,0.02
100010842400007440,THE HANGOVER PART II,2,other,other,other,HEALTH SPOT OF SUNITA AND CIGARETTE BIDI DO IN THE BEGINNING AND MIDDLE OF THE FILM 01.00 MINUTES EACH.,01.00,0,0,2,2
