certificate_id,film_name,cut_no,description,deleted_secs,replaced_secs,inserted_secs,total_modified_time_secs
100010842200008918,ARDHANAARI,8,Deleted the visual of Burning of a Lady at TCR-01:48:05 to 01:48:24,19.0,0.0,0.0,19.0
100010842200008918,ARDHANAARI,9,Deleted the visual of Burning of a Man at TCR-01:50:42 to 01:50:53,11.0,0.0,0.0,11.0
100010842200008918,ARDHANAARI,10,Deleted the visual of a Man pulling the hair of a Lady at TCR01:51:37 to 01:51:55,18.0,0.0,0.0,18.0
100010842200008918,ARDHANAARI,11,Deleted the visual of Murder of a Child at TCR-01:53:52 to 01:54:00,8.0,0.0,0.0,8.0
100010842200008918,ARDHANAARI,12,Deleted the visual of Nirja Kicking the private part of CM at TCR-01:55:13 to 01:55:22,9.0,0.0,0.0,9.0
100010842200008918,ARDHANAARI,13,Deleted the visual of Nirja murder scene at TCR-01:55:43 to 01:56:02,19.0,0.0,0.0,19.0
100010842200008918,ARDHANAARI,14,Deleted the visual of Bloodshot at TCR-01:56:30 to 01:56:37,7.0,0.0,0.0,7.0
100010842200008918,ARDHANAARI,15,Deleted the visual of CM murder scene at TCR-02:06:27 to 02:06:41,14.0,0.0,0.0,14.0
100010842100001290,LOVE ME IF YOU DARE,1,"Removed the words BITCH, FUCK, FUCKING, BALLS, MOTHERFUCKER and BASTARD Wherever it occurs,",0.0,0.0,0.0,0.0
100030842200002683,INDO OVERSEAS FILMS- CHENNAI,1,Space for Censor Certificate and Anti-tobacco disclaimer video are repeated twice in the beginning. Remove the extra duration and submit the final duration of the film please.,70.0,0.0,0.0,70.0
100010842200011591,KARNATAKAA TALKIES,1,Deleted Kannada Credit Title 00:01:17 To 00:01:54,37.0,0.0,0.0,37.0
100010842200011591,KARNATAKAA TALKIES,2,Deleted Kannada Song Maleya Male TCR- 00:04:24 to 00:09:19,295.0,0.0,0.0,295.0
100010842200011591,KARNATAKAA TALKIES,3,Deleted Kannada Song Modalasala TCR  00:46:26: to 00:50:47,261.0,0.0,0.0,261.0
100010842200011591,KARNATAKAA TALKIES,4,Deleted Kannada Song Modalasala Manadolage TCR-01:09:17 to 01:10:48,91.0,0.0,0.0,91.0
100010842200011591,KARNATAKAA TALKIES,5,Deleted Kannada Song Love Me Or Hate Me  TCR- 01:23:47 to 01:27:47,4.0,0.0,0.0,4.0
100010842200011591,KARNATAKAA TALKIES,6,Deleted Kannada Song Modalasala Manadolage TCR- 01:35:05 to 01:35:57,52.0,0.0,0.0,52.0
100010842200011591,KARNATAKAA TALKIES,7,Deleted Kannada Song Prathama TCR- 01:41:06 to 01:45:47,281.0,0.0,0.0,281.0
100050842200000926,MAITRIVANAM,1,Deleted the End credit TCR-02:07:41 to 02:10:00,140.0,0.0,0.0,140.0
100010842200012477,RED,1,Deleted Start Title Tcr-00:01:34 to 00:02:33,59.0,0.0,0.0,59.0
100010842200012477,RED,2,Deleted Song No.1 TCR-00:15:02 to 00:21:21,379.0,0.0,0.0,379.0
100010842200012477,RED,3,Deleted Song No.2 Tcr-00:41:43 to 00:47:18,335.0,0.0,0.0,335.0
100010842200012477,RED,4,Deleted scene Tcr-00:48:30 to 00:50:01 00:53:24 to 00:54:13,110.0,0.0,0.0,110.0
100010842200012477,RED,5,Deleted the visual of woman slapping man shot Tcr-00:55:41 to 00:55:54 00:59:37 to 01:00:02,39.0,0.0,0.0,39.0
100010842200012477,RED,6,Deleted the Hospital Scene Tcr-01:00:38 to 01:03:39,181.0,0.0,0.0,181.0
100010842200012477,RED,7,Deleted Song No.3 Tcr-01:14:06 to 01:20:03,357.0,0.0,0.0,357.0
100010842200012477,RED,8,"Deleted Scene Tcr-01:19:47 to 01:20:03, 01:21:50 to 01:22:03",29.0,0.0,0.0,29.0
100010842200012477,RED,9,Deleted Dance Shot Tcr-01:39:56 to 01:40:33,37.0,0.0,0.0,37.0
100010842200012477,RED,10,Deleted Song No.4 Tcr-01:49:10 to 01:55:33,383.0,0.0,0.0,383.0
100010842200012477,RED,11,Deleted Song No.5 Tcr-02:15:48 to 02:21:23,335.0,0.0,0.0,335.0
100010842200012477,RED,12,Deleted the End scroll Tcr-02:59:25 to 03:00:02,37.0,0.0,0.0,37.0
100010842200010869,PILLA ZAMEENDAR,1,Deleted the visuals of Song 1 00:10:06 TO 00:13:53,226.0,0.0,0.0,226.0
100010842200010869,PILLA ZAMEENDAR,2,Deleted the visuals of Song 2 00:28:11 TO 00:31:12,183.0,0.0,0.0,183.0
100010842200010869,PILLA ZAMEENDAR,3,Deleted the visuals of Song 3 01:14:17 TO 01:18:13,236.0,0.0,0.0,236.0
100010842200010869,PILLA ZAMEENDAR,4,Deleted the visuals of Song 4 01:48:59 TO 01:51:55,176.0,0.0,0.0,176.0
100010842200012330,SAASU MAARI DHAASU,1,Muted the dialogue  Rame Seetanee agni pariksha leedhee ne te chhtay bhagvan kehvaya AT TCR 08:00,0.0,0.0,0.0,0.0
100010842200012330,SAASU MAARI DHAASU,2,Muted the dialogue Meerabai no tamburo. pratibimba nahi jovayu AT TCR  30:41,0.0,0.0,0.0,0.0
100010842200012330,SAASU MAARI DHAASU,3,Muted the dialogue Agnee pariksha aapeene vanvas mokle AT TCR  35:58,0.0,0.0,0.0,0.0
100010842200012330,SAASU MAARI DHAASU,4,Muted the dialogue Saav Sonia Gandhi chhe ...... potanu AT TCR  54:04,0.0,0.0,0.0,0.0
100010842200011859,GAALI SAMPATH,1,Deleted The Start Title (TCR 00:01:28 to 00:02:33),65.0,0.0,0.0,65.0
