id,movie_name,language
100010292200007911,WAY DOWN (DUBBED),Hindi
100050292200000280,WATCHMAN,Hindi
100030292100001943,WATCH,Tamil
100010291900003227,RAM KI JANMABHOOMI,Hindi
100010291800003197,WARPATH BEYOND THE LIFE,Hindi
100010292100005797,WARNING,Punjabi
100010291900003054,JUSTICE LEAGUE VS FATAL FIVE,English with English Subtitles
100010291900001352,SCOOBY-DOO! AND THE CURSE OF THE 13TH GHOST',English with English Subtitles
100010291800002999,SUICIDE SQUAD: HELL TO PAY,English
100010292000005059,TOYS OF TERROR,English with English Subtitles
100010291800007180,SCOOBY-DOO AND THE GOURMET GHOST,English
100010291800000763,BATMAN : GOTHAM BY GASLIGHT,English
100010292400000117,WARM BODIES,Hindi
100010292400008237,WARLORD LANLING,Tamil
100030292100002053,WARD - 126,Tamil
100010292300004165,WAR FLOWER (DUBBED),Hindi
100010292000002502,WAR (DUBBED),Tamil
100010292400003974,WAR,Hindi
100010291900010520,WAQT KI AWAZ,Hindi
100010292300009996,WANTED PANDURAO,Hindi
100010291900007113,WANTED,Bengali
100010292200005115,WANTED,Telugu
100010292000002209,WANTED,Bhojpuri
100010291800004433,WANTED,Bhojpuri
100050292200000384,SHADOW OF THE LOTUS (DUBBED),Hindi
100030292000000439,WALTER,TAMIL WITH ENGLISH SUBTITLES
100010292400003001,WALTER,Hindi
100010292200008776,WALTER,Bengali
100010292400000785,WAJOOD,Bhojpuri
100010292300006855,WAHIWAT,Marathi
100080292400000106,ARJUN-THE SUPERCOP (A K SHAAN),Bengali
100010292000006211,WAGHAR,Marathi
100010292300008407,WADA MY PROMISE,Bengali
100070292400000189,,nan
100020292400000135,VYUHA,Kannada
100070292000000093,VYTHARUNI RAANAA,Telugu
100070292000000324,"""VYKUNTAPALI""",Telugu
100010292400003106,VYKUNTAPALI,Hindi
100070291700000436,'VUNNADHI OKATE ZINDAGI',Telugu
100010292200006633,PYAR KA CHAMATKAR,Hindi
100070292500000180,VRUSHABHA,Telugu
100020292400000426,VRITTA,Kannada
100020291800000888,LAMBODARA BASAVANAGUDI BENGALURU,Kannada
100010292100000201,VOTER,Hindi
100010291900000965,VOTENITI,Hindi
100010292400000875,VOODOO IS BACK - DUBBED,Hindi
100010292400001316,VOODOO IS BACK,Tamil
100030292200001261,BEDEVILED  (DUBBED),Tamil
100010292400000779,BEAUTIFUL WEDDING,English
100010292100002155,EMPIRE STATE,Hindi
100010292300009086,ESCAPE ROOM (HINDI DUB),Hindi
100010291800008333,MALIBU SHARK ATTACK,English
100010292400001016,LAND OF BAD,English
100090291800000493,VOILENCE,Tamil
100020292100000340,VODTHANTLEM FUL,Konkani
