certificate_id,film_name,film_name_full,language,duration_secs,description,cleaned_description,cut_no,deleted_secs,replaced_secs,inserted_secs,total_modified_time_secs,cert_date,cert_no,applicant,certifier,rating,cbfc_file_no
100050842400001319,MUZZLE,MUZZLE (ENGLISH) (Color) (2-D),English,5818.0,"1) Muted Word Fuck at Tcr : 02:12, 02:17, 05:55, 05:56, 08:11, 11:37, 18:07, 18:31, 21:17, 26:07, 33:16, 40:07, 41:18, 44:04, 50:32, 50:48, 59:56, 01:00:52, 01:10:32, 01:11:32, 01:13:04, 01:16:07, 01:16:13, 01:18:04, 01:19:36, 01:28:02 2) Son of a",,1,0.0,0.0,0.0,0.0,2025-01-30,VFL7232025-MUM,"qr-redirect-endorsment  width: 98; float: left; padding: 1;  .endorsementHeading  width: 100; float: left; text-align: center; background: 555; color: fff; font-weight: bold; padding: 6px 0; margin-top: 10px; border-radius: 3px;  qr-redirect-endorsment div  width: 100; float: left; margin: 5px 0;  qr-redirect-endorsment table, qr-redirect-endorsment td, qr-redirect-endorsment th  border: 1px solid 888; text-align: left;  qr-redirect-endorsment table  border-collapse: collapse; width: 100;  qr-redirect-endorsment th, qr-redirect-endorsment td  padding: 5px; font-size: 12px;  EndorsementFile No. : CA011012202400435Film Name : MUZZLE (ENGLISH) (Color) (2-D)Applied Running Time : 096.58 MM.SS Cert No. VFL7232025-MUM Dated 30012025Voluntary Deletions at the time of revised application Duration (MM.SS)Cut No.DescriptionDeletedReplacedInserted11) Muted Word Fuck at Tcr : 02:12, 02:17, 05:55, 05:56, 08:11, 11:37, 18:07, 18:31, 21:17, 26:07, 33:16, 40:07, 41:18, 44:04, 50:32, 50:48, 59:56, 01:00:52, 01:10:32, 01:11:32, 01:13:04, 01:16:07, 01:16:13, 01:18:04, 01:19:36, 01:28:02 2) Son of a 00.0000.0000.00Total : 00.0000.0000.00Actual Duration of the film after the aforesaid deletions and replacements will be 096.58 MM.SS in 0 cassette(s).","Mahesh Kumar, RO, CBFC, Mumbai",UA 16+,CA011012202400435
100010842400007865,THE DUNES,THE DUNES (DUBBED) (TAMIL) (Color) (2-D),Dubbed,5545.0,Inserted credit title title end scrolls in applied language.,,1,0.0,0.0,0.0,0.0,2025-01-29,VFL6232025-MUM,Nagaraj P Revankar (E.O.),"Mahesh Kumar, RO, CBFC, Mumbai",UA 13+,CA011510202400284
100010842400008557,THE PURSUIT OF HAPPYNESS,THE PURSUIT OF HAPPYNESS (HINDI) (Color) (2-D),Hindi,6780.0,"Superimposed anti-smoking and anti-liquor static messages at TCR-00:56:25:00, 01:42:02:00",,1,0.0,0.0,0.0,0.0,2025-01-29,VFL532025-MUM,Premraj Achari (E.O.),"Mahesh Kumar, RO, CBFC, Mumbai",UA 7+,CA010511202400172
100010842400008557,THE PURSUIT OF HAPPYNESS,THE PURSUIT OF HAPPYNESS (HINDI) (Color) (2-D),Hindi,6780.0,Blurred obscene words at TCR-00:05:39:00 and 00:39:36:00,,2,0.0,0.0,0.0,0.0,2025-01-29,VFL532025-MUM,Premraj Achari (E.O.),"Mahesh Kumar, RO, CBFC, Mumbai",UA 7+,CA010511202400172
100010842400008730,ANYONE BUT YOU,ANYONE BUT YOU (TELUGU) (Color) (2-D),Telugu,5779.0,Corrected Film Title in Telugu,,1,0.0,0.0,0.0,0.0,2025-01-29,VFL7192025-MUM,Premraj Achari (E.O.),"Mahesh Kumar, RO, CBFC, Mumbai",UA 16+,CA011111202400525
100010842400008730,ANYONE BUT YOU,ANYONE BUT YOU (TELUGU) (Color) (2-D),Telugu,5779.0,Superimpose Film Credits in Telugu,,2,0.0,0.0,0.0,0.0,2025-01-29,VFL7192025-MUM,Premraj Achari (E.O.),"Mahesh Kumar, RO, CBFC, Mumbai",UA 16+,CA011111202400525
100010842400008730,ANYONE BUT YOU,ANYONE BUT YOU (TELUGU) (Color) (2-D),Telugu,5779.0,Superimposed anti-liquor static message in Telugu from TCR-00:51:00:00 to 00:55:00:00 and 01:18:41:00,,3,0.0,0.0,0.0,0.0,2025-01-29,VFL7192025-MUM,Premraj Achari (E.O.),"Mahesh Kumar, RO, CBFC, Mumbai",UA 16+,CA011111202400525
100010842400008730,ANYONE BUT YOU,ANYONE BUT YOU (TELUGU) (Color) (2-D),Telugu,5779.0,Muted obscene word at TCR-00:40:22:00,,4,0.0,0.0,0.0,0.0,2025-01-29,VFL7192025-MUM,Premraj Achari (E.O.),"Mahesh Kumar, RO, CBFC, Mumbai",UA 16+,CA011111202400525
100010842400008809,BLACK LOTUS,BLACK LOTUS (FRESH DUB) (HINDI) (Color) (2-D),Fresh Dub,5323.0,"Muted word KAMINE AT TCR 41.12, 1.10.12,",,1,0.0,0.0,0.0,0.0,2025-01-29,VFL7182025-MUM,BLACK LOTUS (FRESH DUB),"Mahesh Kumar, RO, CBFC, Mumbai",UA 16+,CA011311202400202
100010842400008809,BLACK LOTUS,BLACK LOTUS (FRESH DUB) (HINDI) (Color) (2-D),Fresh Dub,5323.0,Muted word Salaa - 46:57 - 47.27 - 47:50 - 48:11 - 48:35 - 48:46 - 48:50 - 48:53 - 01:00:08 - 01:03:01- 01:03:06 01:05:14 - 01:05:46 -01:06:56 - 01:08:10,,2,0.0,0.0,0.0,0.0,2025-01-29,VFL7182025-MUM,BLACK LOTUS (FRESH DUB),"Mahesh Kumar, RO, CBFC, Mumbai",UA 16+,CA011311202400202
