Film Name,Year,URL
AAROMALEY,2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=MDMwMzE2MDIyMDI2MDAwMjQ=
AAROMALEY,2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=MDMwMzE2MDIyMDI2MDAwMzU=
AAROMALEY,2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=MDMwMzE2MDIyMDI2MDAwNDY=
AAROMALEY,2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=MDMwMzE2MDIyMDI2MDAwNTA=
AAROMALEY,2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=MDMwMzE2MDIyMDI2MDAwNjE=
AAROMALEY,2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwMzA1MDIyMDI2MDAwNzU=
AAROMALEY,2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwMzAzMDIyMDI2MDAxOTY=
AAROMALEY,2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwMzAzMDIyMDI2MDAyMDU=
AAROMALEY,2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwMzAzMDIyMDI2MDAyMTY=
AASHAAN,2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwOTIwMDEyMDI2MDAwMjI=
AASHAKAL AAYIRAM,2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=MDMwOTA0MDIyMDI2MDAwMTY=
AASHAKAL AAYIRAM,2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwOTEwMDIyMDI2MDAwMTE=
AASHAKAL AAYIRAM,2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwOTI4MDEyMDI2MDAwMjM=
AASHAPURA MAIYA KA DWAR,2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwMTAyMDIyMDI2MDAyNDY=
AATA CHAKKI KAASH YEH KAHANI SACH NA HOTI,2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwNTA2MDIyMDI2MDAwMjM=
AAZHI,2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwMzA0MDEyMDI2MDAwMTQ=
ABHAY - REVISED,2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwMzE1MDEyMDI2MDAwMTY=
ABHIVANDAN,2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwMTA2MDIyMDI2MDAwNjM=
ABS SILKS AND HYPERMART,2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwMzAzMDEyMDI2MDAwMTM=
ABS SILKS AND HYPERMART - JINGLE,2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwMzAyMDIyMDI2MDAwMjQ=
ACHYUTAM KESHAVAM KRISHNA DAMODHARAM BY MEET TRIPATHI,2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwMTI3MDEyMDI2MDAyMjM=
ACHYUTAM KESHVAM KRISHN DAMODARAM BY REKHA RAO,2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwMTI3MDEyMDI2MDAyMzQ=
ADALAT O EKTI MEYE,2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwODA4MDIyMDI2MDAwMTA=
ADANI ENERGY SOLUTION,2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwMTE4MDIyMDI2MDAyNzI=
ADHURI VAAT,2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwMTMwMDgyMDI1MDAwMzI=
ADITYA HRUDAYAM STOTRAM FAST,2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwMTAyMDIyMDI2MDAyNTA=
ADOLESCENT,2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwMzIyMDEyMDI2MDAwMzY=
ADVANCED GRO HAIR,2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwMTI4MDEyMDI2MDAzNTE=
"ADVERTISEMENT OF ""ANVITA (BUILDING HAPPINESS) """,2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwNzAxMDEyMDI2MDAwNTI=
"ADVERTISEMENT OF ""ANVITA (BUILDING HAPPINESS)""",2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwNzA1MDEyMDI2MDAwMzQ=
"ADVERTISEMENT OF ""ANVITHA (BUILDING HAPPINESS)""",2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwNzAxMDEyMDI2MDAwNjM=
"ADVERTISEMENT OF ""TRIBUTE TO MBF BY MFT""",2026,https://cbfcindia.gov.in/cbfcAdmin/search-result.php?recid=Q0EwNzI0MDIyMDI2MDAwMjU=
