id,title,category,language,format,duration,applicant,certifier,synopsis,file_no,film_name_full,cert_no,cert_date,final_duration
100010842400010222,JIO STUDIOS - MUMBAI,Video,,,002.55 MM.SS,Nagaraj P Revankar (E.O.),"Rajendra Singh, CEO, CBFC, Mumbai",cbfc.certificate.qrRedirect.shared.QRRedirect_Mdl62670872,,,,,
100010842400010049,VR MEDIA - MUMBAI,Theatrical,Hindi,,000.23 MM.SS,Sanjay U Jadhav (E.O.),"Rajendra Singh, CEO, CBFC, Mumbai",cbfc.certificate.qrRedirect.shared.QRRedirect_Mdl62670872,,,,,
100010842400010184,PROMO NO. 10 TO 13 - AZAAD,Video,Hindi,,001.52 MM.SS,Nagaraj P Revankar (E.O.),"Rajendra Singh, CEO, CBFC, Mumbai","UNILAZER VENTURES PRIVATE LIMITED - MUMBAI, GUY IN THE SKY PICTURES PRIVATE LIMITED - MUMBAI",,,,,
100010842400010185,PROMO NO. 14 TO 18 - AZAAD,Video,Hindi,,002.15 MM.SS,Nagaraj P Revankar (E.O.),"Rajendra Singh, CEO, CBFC, Mumbai","UNILAZER VENTURES PRIVATE LIMITED - MUMBAI, GUY IN THE SKY PICTURES PRIVATE LIMITED - MUMBAI",,,,,
100010842400010195,V2S PRODUCTIONS - MUMBAI,Video,Hindi,,006.25 MM.SS,Nagaraj P Revankar (E.O.),"Rajendra Singh, CEO, CBFC, Mumbai","SONG - BEAUTIFUL SAJNA AND SONG - TAKA TAKI  PROMO NO. 3, 4, 5 AND 6  FILM - PINTU KI PAPPI",,,,,
100010842400010227,V2S PRODUCTIONS - MUMBAI,Theatrical,,,001.38 MM.SS,Premraj Achari (E.O.),"Rajendra Singh, CEO, CBFC, Mumbai",cbfc.certificate.qrRedirect.shared.QRRedirect_Mdl62670872,,,,,
100010842400010225,V2S PRODUCTIONS - MUMBAI,Theatrical,Tamil,,001.38 MM.SS,Premraj Achari (E.O.),"Rajendra Singh, CEO, CBFC, Mumbai",cbfc.certificate.qrRedirect.shared.QRRedirect_Mdl62670872,,,,,
100010842400010236,MADDOCK FILMS - MUMBAI,Theatrical,Hindi,,002.45 MM.SS,Premraj Achari (E.O.),"Rajendra Singh, CEO, CBFC, Mumbai",cbfc.certificate.qrRedirect.shared.QRRedirect_Mdl62670872,CA013012202400134,TRAILER - SKY FORCE (HINDI),DIS512025-MUM,02012025,002.45
100010842500000003,PETROLEUM AND NATURAL GAS,Theatrical,,,000.28 MM.SS,Sanjay U Jadhav (E.O.),"Rajendra Singh, CEO, CBFC, Mumbai",cbfc.certificate.qrRedirect.shared.QRRedirect_Mdl62670872,,,,,
100010842500000004,PETROLEUM AND NATURAL GAS,Theatrical,,,000.38 MM.SS,Sanjay U Jadhav (E.O.),"Rajendra Singh, CEO, CBFC, Mumbai",cbfc.certificate.qrRedirect.shared.QRRedirect_Mdl62670872,,,,,
100010842400010252,VR MEDIA - MUMBAI,Theatrical,,,000.48 MM.SS,Sanjay U Jadhav (E.O.),"Rajendra Singh, CEO, CBFC, Mumbai",cbfc.certificate.qrRedirect.shared.QRRedirect_Mdl62670872,,,,,
100010842400010254,VR MEDIA - MUMBAI,Theatrical,,,000.33 MM.SS,Sanjay U Jadhav (E.O.),"Rajendra Singh, CEO, CBFC, Mumbai",cbfc.certificate.qrRedirect.shared.QRRedirect_Mdl62670872,,,,,
100010842400010238,PROMO NO. 19 TO 20 - AZAAD,Video,Hindi,,000.46 MM.SS,Sanjay U Jadhav (E.O.),"Rajendra Singh, CEO, CBFC, Mumbai","UNILAZER VENTURES PRIVATE LIMITED - MUMBAI, GUY IN THE SKY PICTURES PRIVATE LIMITED - MUMBAI",,,,,
100010842400010233,JIO STUDIOS - MUMBAI,Video,,,003.13 MM.SS,Sanjay U Jadhav (E.O.),"Rajendra Singh, CEO, CBFC, Mumbai",cbfc.certificate.qrRedirect.shared.QRRedirect_Mdl62670872,,,,,
100010842400010209,SONG - DIL TUJH PE AA GAYA,Video,Hindi,,004.53 MM.SS,Nagaraj P Revankar (E.O.),"Rajendra Singh, CEO, CBFC, Mumbai",cbfc.certificate.qrRedirect.shared.QRRedirect_Mdl62670872,,,,,
100010842400010234,JIO STUDIOS - MUMBAI,Video,,,003.28 MM.SS,Premraj Achari (E.O.),"Rajendra Singh, CEO, CBFC, Mumbai",cbfc.certificate.qrRedirect.shared.QRRedirect_Mdl62670872,,,,,
100010842400009783,RADIO JAMBUR,Theatrical,,,010.28 MM.SS,,"Rajendra Singh, CEO, CBFC, Mumbai",cbfc.certificate.qrRedirect.shared.QRRedirect_Mdl62670872,,,,,
100010842400009880,MY JOURNEY WITH SUMI,Theatrical,Hindi,,020.25 MM.SS,,"Rajendra Singh, CEO, CBFC, Mumbai",cbfc.certificate.qrRedirect.shared.QRRedirect_Mdl62670872,,,,,
100010842400010248,D.G.B. SOLUTIONS - THANE,Theatrical,Hindi,,001.03 MM.SS,Sanjay U Jadhav (E.O.),"Rajendra Singh, CEO, CBFC, Mumbai",cbfc.certificate.qrRedirect.shared.QRRedirect_Mdl62670872,,,,,
100010842400008384,SEVEN,Video,Tamil,Long,123.04 MM.SS,Discovery Communication India (Private company with unlimited liability)- MUMBAI,"Rajendra Singh, CEO, CBFC, Mumbai",cbfc.certificate.qrRedirect.shared.QRRedirect_Mdl62670872,CA012910202400425,SEVEN (TAMIL) (Color) (2-D),VFL712025-MUM,03012025,123.04
